pH,TDS_ppm,Turbidity_NTU,Temperature_C,Label
7.42,238.7,15.55,27.25,Unsafe
7.79,301.7,8.94,28.04,Unsafe
7.63,409.2,11.77,27.05,Unsafe
7.59,421.2,4.81,26.51,Unsafe
7.47,442.6,5.66,27.97,Unsafe
6.94,262.8,14.72,26.98,Unsafe
6.63,201.9,13.83,27.66,Unsafe
6.67,390.7,9.73,27.66,Unsafe
7.67,245.2,16.71,26.45,Unsafe
6.59,272.9,16.25,27.17,Unsafe
6.55,224.5,12.63,27.11,Unsafe
7.43,432.9,10.59,26.4,Unsafe
7.33,257.7,11.61,26.25,Unsafe
7.56,470,7.76,27.14,Unsafe
6.76,352.4,17.06,26.87,Unsafe
6.51,285.4,10.32,27.02,Unsafe
6.99,463.7,14.53,28.78,Unsafe
6.68,244.3,4.93,26.73,Unsafe
6.66,334.4,8.97,28.07,Unsafe
7.32,347.2,7.6,27.1,Unsafe
6.99,482.1,16.66,27.08,Unsafe
7.28,254.1,14.23,27.4,Unsafe
7.23,490.7,18.07,27.88,Unsafe
7.06,332.6,5.34,27.72,Unsafe
7.72,254.6,15.34,27.86,Unsafe
7.02,314.7,8.13,27.27,Unsafe
6.61,414.7,8.37,27.17,Unsafe
6.95,372.5,14.66,27.37,Unsafe
7.61,214,12.94,27.67,Unsafe
7.21,464.5,11.48,27.5,Unsafe
7.58,492.9,9.79,28.07,Unsafe
6.93,504.1,9.99,26.84,Unsafe
7.02,340.3,7.83,27.48,Unsafe
7.61,349.9,11.96,27.71,Unsafe
6.64,392.5,9.99,27.71,Unsafe
6.96,414.5,12.26,27.27,Unsafe
7.28,370.9,11.82,27.98,Unsafe
7.02,342.9,9.23,27.12,Unsafe
7.41,381.2,10.4,28.26,Unsafe
7.23,314.3,17.64,27.64,Unsafe
6.99,258.4,11.56,27.23,Unsafe
6.84,358.3,14.27,27.23,Unsafe
7.08,423.4,16.91,27.03,Unsafe
7.26,243.3,15.78,27.9,Unsafe
7.46,468.4,9.59,27.96,Unsafe
7.35,243.9,14.36,28.4,Unsafe
6.74,471.3,17.26,28.48,Unsafe
7.79,374.4,18.01,27.33,Unsafe
6.95,286.1,16.18,27.35,Unsafe
6.61,382.7,14.94,26.9,Unsafe
7.7,394.4,11.52,27.7,Unsafe
7.59,464.7,15.08,27.53,Unsafe
7.36,235,13.17,28.09,Unsafe
7.03,202.9,7.14,27.7,Unsafe
7.03,343.7,10.27,27.11,Unsafe
6.5,322,5.65,27.47,Unsafe
6.7,291.7,11.27,27.51,Unsafe
7.72,309.5,10.45,26.55,Unsafe
7.06,492.3,8.79,27.56,Unsafe
6.92,407.4,17.13,28,Unsafe
7.14,283.3,5.86,28.37,Unsafe
7.62,398.7,14,26.92,Unsafe
7.27,430.6,8.9,27.41,Unsafe
7.12,243.1,13.54,27.09,Unsafe
6.67,424.3,3.91,27.71,Unsafe
7.48,498.8,10.27,27.92,Unsafe
6.57,261.8,14.67,27.28,Unsafe
7.54,342.5,9.52,27.81,Unsafe
6.49,467.5,7.2,27.03,Unsafe
7.29,432.9,8.91,27.03,Unsafe
7.17,471.1,16.2,28.54,Unsafe
6.95,220,14.4,28.09,Unsafe
7.52,434.1,16.4,28.07,Unsafe
7.34,219.2,15.5,27.58,Unsafe
7.6,380.1,14.04,27.25,Unsafe
6.73,230.6,14.75,26.99,Unsafe
6.6,378.5,4.3,28.33,Unsafe
6.46,491.1,11.93,28.08,Unsafe
6.92,444.1,12.51,27.87,Unsafe
6.79,405.6,5.25,28.72,Unsafe
7.85,388.6,6.42,28.8,Unsafe
7.01,222.4,7.03,27.89,Unsafe
7.48,338,7.28,27.5,Unsafe
6.9,261.5,12.56,27.49,Unsafe
7.4,375.3,16.67,27.38,Unsafe
6.72,325.4,9.39,29.04,Unsafe
7.18,275.8,11.2,27.94,Unsafe
7.09,469.6,13.98,28.08,Unsafe
6.7,334,9.06,26.97,Unsafe
6.69,301.3,9.36,28.87,Unsafe
6.65,337.3,5.5,27.87,Unsafe
7.8,396.2,16.77,28.33,Unsafe
7.74,469.9,12.76,27.21,Unsafe
7.69,375.8,16.85,28.32,Unsafe
7.02,457.7,8.15,28.15,Unsafe
7.11,275.9,6.95,27.59,Unsafe
7.75,445.7,14.19,26.94,Unsafe
6.81,346.6,8.09,27.73,Unsafe
6.7,468.8,8.03,27.1,Unsafe
7.66,313.4,9.59,27.8,Unsafe
7,400,13.9,27.73,Unsafe
7.3,197.9,13.11,27.8,Unsafe
7.25,417.5,7.73,28.2,Unsafe
7.45,392,12.7,28.54,Unsafe
7.64,424,5.15,27.81,Unsafe
7.47,268.9,12.01,27.57,Unsafe
6.74,320.1,15.03,27.59,Unsafe
7.55,272.6,11.72,27.91,Unsafe
7.06,342.6,4.2,27.34,Unsafe
6.73,255.9,17.34,28.02,Unsafe
7.01,250.1,16.71,27.88,Unsafe
7.76,345.7,5.08,27.54,Unsafe
6.99,420,16.29,28.55,Unsafe
6.56,362.4,4.18,26.92,Unsafe
6.8,247.2,9.87,27.36,Unsafe
7.33,418,11.36,27.89,Unsafe
7.2,412.5,15.48,28.07,Unsafe
6.76,451.4,11.18,28.12,Unsafe
7.63,470.7,15.41,27.36,Unsafe
7.79,482.6,13.41,27.53,Unsafe
7.63,256.3,5.28,28.79,Unsafe
7.65,335.6,13.95,28.14,Unsafe
7.73,371.5,4.87,27.32,Unsafe
7.09,385.5,6.73,28.19,Unsafe
7.41,273.5,15.35,27.9,Unsafe
7.71,392.6,17.16,28.16,Unsafe
7.32,343.3,8.29,27.51,Unsafe
6.57,265,13.36,27.81,Unsafe
7.49,305.8,7.26,28.42,Unsafe
6.91,328.9,8.3,27.46,Unsafe
7.47,403.8,8.29,28.13,Unsafe
7.22,215.4,16.34,29.17,Unsafe
6.9,363.1,9.37,27.52,Unsafe
7.4,482.6,7.66,27.97,Unsafe
7.71,242,15.64,27.46,Unsafe
7.54,496.8,16.06,28.27,Unsafe
6.77,349.4,6.72,28.4,Unsafe
7.2,211.6,5.97,27.72,Unsafe
7.49,433.4,11.82,27.16,Unsafe
6.55,463.7,5.13,27.25,Unsafe
7.14,361.1,13.94,27.75,Unsafe
6.88,316.1,11.29,26.7,Unsafe
7.12,474.4,8.51,27.07,Unsafe
6.67,445.8,12.01,27.29,Unsafe
6.96,389.7,17.47,28.07,Unsafe
7.38,240.6,8.15,26.82,Unsafe
6.72,447.3,5.51,27.76,Unsafe
7.72,206.9,5.21,27.55,Unsafe
7.2,348,4.76,27.53,Unsafe
7.7,245.7,11.01,26.66,Unsafe
6.58,343.6,12.66,27.44,Unsafe
6.69,231.2,7.29,26.68,Unsafe
6.92,468.5,15.79,27.38,Unsafe
6.56,420.2,16.05,27.9,Unsafe
7.72,431.7,10.66,27.07,Unsafe
7.6,359.1,8.18,27.92,Unsafe
6.57,450.3,17.39,28.2,Unsafe
7.16,500.6,11.8,27.24,Unsafe
7.02,219.3,17.35,28.61,Unsafe
7.77,333.6,9.54,27.79,Unsafe
7.59,393.2,11.48,26.93,Unsafe
7.12,396.8,11.73,27.48,Unsafe
6.59,366.6,9.95,27.87,Unsafe
6.59,355.4,12.71,27.79,Unsafe
7.44,253.8,7.93,27.14,Unsafe
7.31,394.2,12.08,27.4,Unsafe
7.15,307.2,6.55,27.88,Unsafe
6.55,247.6,10.37,27.44,Unsafe
7.51,253.6,6.24,27.64,Unsafe
6.89,328.4,14.3,27.07,Unsafe
7.13,233.8,12.84,27.65,Unsafe
7.09,355.2,11.88,27.16,Unsafe
6.96,230.8,5.85,28.63,Unsafe
7.05,428.2,12.73,27.78,Unsafe
6.55,450.7,8.01,27.75,Unsafe
6.66,286.6,5.91,27.05,Unsafe
6.8,235.2,7.62,27.41,Unsafe
7.74,468.1,4.3,27.35,Unsafe
7.19,458.2,4.87,27.36,Unsafe
6.95,408.2,12.98,28.3,Unsafe
7.71,330.2,11.07,26.85,Unsafe
7.61,503,4.96,27.65,Unsafe
7.47,344.6,8.31,27.36,Unsafe
7.37,216.8,16.17,27.14,Unsafe
7.07,407.9,8.79,27.86,Unsafe
7.16,432.6,13.09,27.45,Unsafe
6.98,433.8,5.62,27.62,Unsafe
7.71,336.7,12.03,26.94,Unsafe
6.6,392.4,17.85,27.9,Unsafe
7.3,485,15.89,27.19,Unsafe
7.3,442.2,8.44,28.02,Unsafe
6.85,328.4,6.01,27.34,Unsafe
6.68,271.3,14.2,26.76,Unsafe
7.33,463.5,9.2,28.17,Unsafe
6.81,382,12.98,28.2,Unsafe
7.68,273,15.16,26.87,Unsafe
7.35,311.6,9.48,27.06,Unsafe
6.99,274.9,10.21,27.63,Unsafe
7,403.4,10.57,27.98,Unsafe
7.7,270.1,6.67,26.94,Unsafe
6.57,388.5,6.71,26.98,Unsafe
7.28,493,14.42,27.36,Unsafe
6.8,477.4,11.7,27.06,Unsafe
7.56,410.9,3.14,28,Unsafe
7.18,199.6,9.19,27.01,Unsafe
6.83,474.1,12.03,27.82,Unsafe
7.63,331.1,6.92,27.3,Unsafe
7.66,243,4.14,26.99,Unsafe
6.72,219.4,11.32,27.47,Unsafe
7.24,242.4,11.63,27.24,Unsafe
7.57,410.9,10,27.35,Unsafe
7.28,434.2,8.31,26.41,Unsafe
7.07,412,10.79,26.11,Unsafe
6.99,434.6,9.51,26.48,Unsafe
6.53,442.2,11.35,28.01,Unsafe
6.64,351.7,12.2,26.41,Unsafe
7.47,376.1,7.22,27.45,Unsafe
7.14,362.9,11.55,27.19,Unsafe
7.43,458.1,18.48,26.76,Unsafe
7.81,493,15.67,26.68,Unsafe
6.64,268,8.66,27.59,Unsafe
6.98,463.6,10.35,27.24,Unsafe
7.77,390.7,9.82,27.39,Unsafe
6.71,328.5,9.97,27.3,Unsafe
7,289.8,9.71,26.11,Unsafe
6.64,373.2,9.22,26.74,Unsafe
7.06,477.6,12.71,26.5,Unsafe
7.39,286.7,8.2,27.13,Unsafe
6.59,339.9,6.91,26.62,Unsafe
7.68,398.1,7.86,26.75,Unsafe
6.75,297.3,13.71,26.98,Unsafe
7.05,262.4,17.49,26.65,Unsafe
7.28,264.5,15.85,27.63,Unsafe
7.11,283,11.05,27.35,Unsafe
7.44,273.4,15.65,26.73,Unsafe
6.71,455.8,12.14,26.78,Unsafe
6.91,357.3,9.77,27.27,Unsafe
6.75,254.3,16.22,27.13,Unsafe
6.95,486,5.16,27.6,Unsafe
7.89,252.4,13.46,26.67,Unsafe
7.13,282,15.22,28.09,Unsafe
6.72,253.2,13.42,27.31,Unsafe
7.51,486.7,7.4,27.31,Unsafe
7.61,466.4,11.27,27.53,Unsafe
7.24,236.4,12.54,27.39,Unsafe
7.12,351,15.09,27.13,Unsafe
7.22,396.1,14.5,26.82,Unsafe
7.13,317.1,13.4,26.71,Unsafe
6.65,493.8,16.98,27.42,Unsafe
7.01,473,8.66,27.9,Unsafe
7.79,397.3,13.39,27.78,Unsafe
6.71,220.8,17.59,25.24,Unsafe
7.75,221.4,12.8,26.57,Unsafe
6.59,384.6,17.12,28.03,Unsafe
7.22,263.9,5.28,27.09,Unsafe
6.66,300.9,9.76,26.96,Unsafe
7.63,302.5,17.8,27.58,Unsafe
7.04,241.8,14.28,27.68,Unsafe
7.01,345.1,8.31,27.29,Unsafe
7.78,228.9,15.97,26.59,Unsafe
7.28,366.3,5.49,26.24,Unsafe
7.55,369.6,9.47,27.07,Unsafe
7.42,251.8,8.76,26.2,Unsafe
7.12,406.1,17.84,26.24,Unsafe
7.29,224.4,10.56,26.28,Unsafe
7.17,393.4,15.47,26.01,Unsafe
7.56,351.7,9.19,26.4,Unsafe
6.96,393.4,7.48,26.75,Unsafe
6.78,297.6,10.84,26.88,Unsafe
7.12,396.9,5.54,26.27,Unsafe
6.59,283.7,6.02,26.37,Unsafe
7.16,487.1,15.39,26.8,Unsafe
7.01,382.8,12.44,26.71,Unsafe
7.61,469.5,13.52,27.2,Unsafe
6.98,232.1,12.78,27.2,Unsafe
6.92,468.1,13.08,27.15,Unsafe
6.81,378.3,12.54,26.42,Unsafe
6.61,315.3,10.08,26.55,Unsafe
7.07,463.7,5.52,27.51,Unsafe
6.84,445.5,17.48,26.87,Unsafe
7.34,384.2,16.46,26.37,Unsafe
6.59,455.2,7.23,25.99,Unsafe
7.82,380.7,9.03,26.63,Unsafe
7.33,257.5,6.87,26.46,Unsafe
6.55,297.8,17.5,27.1,Unsafe
7.03,286.9,6.05,26.85,Unsafe
7.24,254.4,10.26,26.11,Unsafe
7.45,280.1,11.2,27.15,Unsafe
7.28,303.9,14.67,26.79,Unsafe
7.53,310.7,13.67,25.61,Unsafe
7.11,404.5,9.45,27.04,Unsafe
6.77,243.4,5.19,26.79,Unsafe
7.74,339.8,9.18,26.35,Unsafe
7.58,427.7,4.68,26.27,Unsafe
6.89,433.3,9.27,25.61,Unsafe
7.1,261.3,17.15,26.35,Unsafe
6.9,363,8.06,25.75,Unsafe
7.2,467.5,17.63,25.91,Unsafe
6.8,428.7,16.74,26.3,Unsafe
7.73,496.9,15.61,25.96,Unsafe
7.51,199.8,17.34,26.67,Unsafe
7.57,252.5,18.94,26.67,Unsafe
7.72,469.3,4.68,26.4,Unsafe
6.96,342.9,14.44,26.76,Unsafe
7.36,500.6,6.65,27.2,Unsafe
7.56,450.8,5.57,26.01,Unsafe
6.94,240.1,6.56,26.99,Unsafe
7.15,233,11.45,26.66,Unsafe
6.91,435.2,7.6,25.76,Unsafe
6.8,479.6,16.82,26.67,Unsafe
7.85,451.8,7.34,26.61,Unsafe
7.61,374.9,4.49,27.31,Unsafe
6.93,444.5,15.77,26.56,Unsafe
7.21,447.3,15.51,25.73,Unsafe
6.61,316.7,7.42,26.31,Unsafe
6.87,421.9,6.56,25.16,Unsafe
7.62,209.6,10.32,26.48,Unsafe
7.77,283.5,17.79,26.52,Unsafe
7.05,246.3,13.94,25.94,Unsafe
7.5,238.8,10.93,27.02,Unsafe
7.4,367.2,7.94,26.14,Unsafe
6.51,436.4,12.69,26.56,Unsafe
7.72,465.4,8.39,27.28,Unsafe
6.85,387.2,11.18,27.1,Unsafe
6.89,369.9,6.68,26.09,Unsafe
6.69,434.7,6.63,26.18,Unsafe
7.5,235,14.88,25.84,Unsafe
6.62,469.9,7.49,26.39,Unsafe
6.64,412.9,4.53,26.04,Unsafe
6.97,289.8,16.18,25.78,Unsafe
7.62,434.5,16.13,26,Unsafe
6.89,394.7,9.98,26.24,Unsafe
7.4,447.8,13.36,25.85,Unsafe
7.49,283.9,14.74,26.3,Unsafe
7.6,216.5,5.57,27.07,Unsafe
7.25,284.1,14.18,26.63,Unsafe
7.46,247.2,11.66,25.86,Unsafe
7.39,306.1,5.4,26.08,Unsafe
6.91,299.5,10.65,27.17,Unsafe
7.57,441.5,10.15,26.33,Unsafe
7.34,294.8,10.26,26.25,Unsafe
7.9,306.8,11.98,26.33,Unsafe
6.93,353.2,7.91,26.13,Unsafe
6.81,257.3,13.06,26.74,Unsafe
7.61,335.1,6.13,26.35,Unsafe
7.81,376.7,13.18,26.03,Unsafe
7.69,227,18.52,26.41,Unsafe
7.65,475.9,12.48,26.37,Unsafe
6.54,394.9,6.15,26.07,Unsafe
6.58,303.2,13.71,26.4,Unsafe
6.79,222.6,14.82,26.71,Unsafe
7.84,234.9,5.77,24.67,Unsafe
7.24,294.4,14.75,25.63,Unsafe
6.69,295.7,10.07,26.87,Unsafe
6.69,256.1,17.5,26.86,Unsafe
7.61,234.3,13.57,26.29,Unsafe
6.98,460.9,6.27,26.14,Unsafe
7.4,488.3,5.89,27.01,Unsafe
7.11,461.1,13.53,26.76,Unsafe
7.26,289.1,7.09,26.19,Unsafe
7.76,476.2,8.08,25.56,Unsafe
7.11,215,14.31,26.65,Unsafe
7.09,262.5,5.5,27.11,Unsafe
6.63,426.1,15.01,25.89,Unsafe
7.18,423.3,11.84,26.5,Unsafe
7.8,439,6.37,26.23,Unsafe
7.58,352.1,12.5,26.32,Unsafe
6.56,295.7,13.35,26.35,Unsafe
7.07,214.5,8.82,26.37,Unsafe
7.5,298.6,17.52,26.45,Unsafe
6.65,290.3,15.74,26.58,Unsafe
7.74,194.2,7.84,25.68,Unsafe
6.7,396.2,15.49,26.23,Unsafe
7.55,457.4,5.99,25.98,Unsafe
7.72,245.3,10.12,26.2,Unsafe
7.83,198.5,16.88,25.63,Unsafe
7.17,338.9,5.86,26.46,Unsafe
6.6,342.8,9.71,25.74,Unsafe
7.21,377.8,4.66,26.61,Unsafe
6.99,425.5,8.24,25.23,Unsafe
6.55,473.1,5.32,25.78,Unsafe
7.31,221.3,8.33,25.36,Unsafe
7.6,262.4,7.11,24.92,Unsafe
6.88,414.6,6.84,25.38,Unsafe
6.65,301.1,16.61,24.98,Unsafe
7,394.2,9.35,25.2,Unsafe
6.92,497.8,6.69,26.01,Unsafe
6.95,326.3,7.95,26.49,Unsafe
6.46,354,8.04,26.1,Unsafe
6.94,223.7,16.02,25.87,Unsafe
7.04,256.8,11.57,26.87,Unsafe
7.65,353.4,4.26,25.78,Unsafe
6.54,392.2,6.1,25.34,Unsafe
6.99,416.2,4.66,25.84,Unsafe
7.02,258.4,14.05,26.37,Unsafe
6.83,479.7,8.9,26.13,Unsafe
7.59,354,3.92,25.18,Unsafe
7.21,383.9,10.5,25.25,Unsafe
6.79,393.3,16.73,26.31,Unsafe
6.75,307.8,7.19,25.79,Unsafe
6.58,231.3,9.91,25.98,Unsafe
7.22,387.6,10.56,26.46,Unsafe
7.77,367.4,7.64,25.79,Unsafe
7.22,387.3,15.32,26.78,Unsafe
7.18,390.7,17.36,25.85,Unsafe
6.74,347.2,7.93,26.2,Unsafe
7.21,490,13.34,26.51,Unsafe
7.37,285.7,10.02,26.08,Unsafe
6.67,449.9,5.23,25.89,Unsafe
7.7,471.8,10.19,25.34,Unsafe
6.98,502.5,9.54,26.94,Unsafe
6.92,400.5,14.31,26.01,Unsafe
6.58,508.1,7.85,25.78,Unsafe
7.31,289.8,4.67,26.02,Unsafe
6.7,298.1,9.18,26.19,Unsafe
6.87,222.6,5.37,26.01,Unsafe
7.25,467.6,10.24,25.9,Unsafe
7.26,372.5,17.03,26.33,Unsafe
6.56,404.4,13.81,26.45,Unsafe
7.26,473.2,5.68,25.98,Unsafe
6.66,448.5,14.35,25.72,Unsafe
6.96,399.4,9.87,26.19,Unsafe
6.85,432.8,3.78,25.88,Unsafe
7.63,317.2,12.54,25.96,Unsafe
7.22,270.4,12.85,25.41,Unsafe
7.8,327.8,8.33,25.93,Unsafe
6.49,232.9,13.77,24.53,Unsafe
7.13,366.4,12.48,25.63,Unsafe
7.3,412.4,11.22,25.03,Unsafe
6.73,213.8,10.65,25.69,Unsafe
7.13,303,10.89,25.22,Unsafe
6.54,472.3,16.03,26.38,Unsafe
7.06,289.4,11.85,26.4,Unsafe
7.67,476.7,16.14,26.11,Unsafe
7.39,500.4,16.86,25.86,Unsafe
7.26,247.1,14.66,25.33,Unsafe
7.54,351.9,4.19,26.14,Unsafe
6.64,478.8,15.16,25.81,Unsafe
6.8,386,9.8,24.59,Unsafe
7.55,500.9,7.32,25.21,Unsafe
7.31,384.3,9.25,25.62,Unsafe
7.23,447.9,5.87,24.9,Unsafe
7.48,262,16.17,25.56,Unsafe
7.03,390.9,18.45,25.4,Unsafe
6.69,388.8,16.15,26.54,Unsafe
6.84,209.3,4.74,24.8,Unsafe
6.78,211.7,13.01,25.91,Unsafe
7.53,489.2,14.97,25.5,Unsafe
7.59,332,16.5,25.52,Unsafe
7.54,325,10.29,25.76,Unsafe
7.19,328.9,6.38,25.24,Unsafe
7.37,429.1,6.83,24.85,Unsafe
7.27,431.9,12.57,24.84,Unsafe
7.64,496.2,12.98,25.44,Unsafe
7.71,298,14.59,25.88,Unsafe
7.47,216,14.49,24.74,Unsafe
6.7,481.6,4.84,24.93,Unsafe
6.84,323,15.08,25.24,Unsafe
7.65,448.7,13.05,26.02,Unsafe
6.75,203.9,16.76,25.52,Unsafe
6.83,358.2,14.65,25.17,Unsafe
7.77,471.2,11.96,25.6,Unsafe
7.1,434.2,5.31,25.42,Unsafe
7.04,303.2,7.93,24.48,Unsafe
7.4,227.2,13.66,25.35,Unsafe
6.74,297.2,14.92,24.94,Unsafe
7.36,239.1,10.04,25.3,Unsafe
6.82,382.1,14.63,25.13,Unsafe
6.98,502.3,14.89,25.38,Unsafe
6.89,329.3,11.15,25.44,Unsafe
7.61,420.4,6.41,25.33,Unsafe
7.14,364.4,8.07,25.58,Unsafe
7.05,352.7,14.19,25.7,Unsafe
6.78,332.7,17.59,25.01,Unsafe
7.25,299.6,5.81,25.93,Unsafe
6.6,483,17.26,24.74,Unsafe
6.55,243.4,16.56,25.81,Unsafe
7.32,428.7,6.71,25.21,Unsafe
6.62,248.6,13.69,24.97,Unsafe
7.59,460.2,6.12,25.24,Unsafe
7.48,440.7,16.89,25.2,Unsafe
7.12,399.9,4.27,24.87,Unsafe
7.51,213.5,9.44,24.6,Unsafe
6.63,287.5,4.16,25.45,Unsafe
7.82,304.2,7.33,25.14,Unsafe
7.63,393.6,12.78,25.26,Unsafe
6.63,453.5,10.05,25.16,Unsafe
7.28,422.6,5.33,25.4,Unsafe
6.67,244.8,5.58,24.88,Unsafe
6.81,314.2,12.74,25.07,Unsafe
6.51,271.2,4.36,25.09,Unsafe
7.24,227.8,15.58,25.33,Unsafe
6.94,412.7,7.17,25.96,Unsafe
7.82,219.2,5.16,26.36,Unsafe
7.15,207.8,7.74,25.12,Unsafe
7.84,250.6,6.39,25.68,Unsafe
7.73,225.9,14.42,25.18,Unsafe
7.17,246.7,5.99,25.54,Unsafe
6.68,439.4,11.81,25.08,Unsafe
7.41,256.9,6.49,25.69,Unsafe
7.13,346,17.47,25.33,Unsafe
7.54,242.1,14.17,24.32,Unsafe
6.59,291.3,8.44,24.3,Unsafe
6.88,457.9,9.9,24.96,Unsafe
7.02,312.8,4.68,24.63,Unsafe
7.1,226.7,14.56,24.68,Unsafe
7.67,430.5,7.22,25.38,Unsafe
7.72,248.7,4.85,24.34,Unsafe
7.31,342.6,15.72,25.23,Unsafe
7.38,257.8,7.48,24.51,Unsafe
7.16,474.9,13.86,24.55,Unsafe
7,387.9,5.32,24.17,Unsafe
6.54,467,5.91,24.47,Unsafe
6.69,235.7,14.58,25.31,Unsafe
7.31,271,7.37,24.08,Unsafe
6.52,231.2,17.7,24.84,Unsafe
7.08,476.2,12.38,24.89,Unsafe
7.35,227.1,9.77,25.72,Unsafe
7.31,362.5,5.42,24.58,Unsafe
7.36,207.3,10.58,25.53,Unsafe
6.61,228.5,11.45,25.07,Unsafe
7.57,380.3,7.38,25.33,Unsafe
7.22,241.3,14.74,25.64,Unsafe
7.86,298.4,15.82,24.63,Unsafe
6.98,295.3,5.35,25.01,Unsafe
7.73,245.8,13.53,25.04,Unsafe
7.19,394.6,15.82,24.5,Unsafe
7.33,456.6,9.38,24.78,Unsafe
6.48,373,13.52,25.05,Unsafe
7.71,380.5,3.96,24.81,Unsafe
6.95,369.1,5.4,25.23,Unsafe
6.72,316,8.55,24.31,Unsafe
6.71,242.8,7.57,24.81,Unsafe
7.69,411.2,10.19,24.21,Unsafe
7.69,254.9,13.26,25.4,Unsafe
7.69,377.5,6.36,24.96,Unsafe
7.35,235,7.89,25.46,Unsafe
6.95,203.6,8,24.85,Unsafe
6.57,367.6,10.07,25.58,Unsafe
6.91,394.6,10.81,25.05,Unsafe
6.69,473.1,9.82,24.81,Unsafe
7.07,384.5,14.16,24.52,Unsafe
7.56,431.3,12.67,24.98,Unsafe
6.95,502.1,8.14,24.78,Unsafe
7.51,393.3,11.27,24.96,Unsafe
7.53,496.9,5.3,24.13,Unsafe
7.12,248.2,13.68,25.85,Unsafe
6.46,364.9,7.51,24.29,Unsafe
7.56,272.1,15.02,24.21,Unsafe
7.35,335,12.11,25.25,Unsafe
6.87,486.9,13.47,24.36,Unsafe
7.66,278.7,14.36,24.7,Unsafe
7.17,259.4,5.5,24.42,Unsafe
7.54,240.7,15.23,24.73,Unsafe
7.6,351.9,12.29,23.66,Unsafe
6.76,448.9,3.08,24.78,Unsafe
6.85,446,7.82,25.44,Unsafe
7.6,349.2,5.06,25.38,Unsafe
7.72,376,7.99,24,Unsafe
7.73,479,4.86,23.24,Unsafe
7.67,429.5,4.12,24.16,Unsafe
7.13,234.6,3.85,24.18,Unsafe
6.93,265.1,5.72,24.87,Unsafe
7.51,462.2,14.97,23.64,Unsafe
6.85,232.5,10.66,25.12,Unsafe
6.52,273.1,13.27,24.12,Unsafe
6.81,343.2,13,24.32,Unsafe
7.44,336.3,12.87,23.89,Unsafe
6.73,486.9,17.79,24.96,Unsafe
7.1,468.6,14.51,24.89,Unsafe
7.07,484.8,16.64,24.35,Unsafe
7.68,457.6,8.83,24.62,Unsafe
6.54,416.3,13.23,24.55,Unsafe
6.92,310.4,18.01,24.39,Unsafe
7.37,259,13.98,25.26,Unsafe
7.27,308.9,15.23,23.89,Unsafe
7.2,490.3,16.05,24.42,Unsafe
7.1,417.8,13.6,24.39,Unsafe
6.73,310.6,16.25,24.69,Unsafe
6.52,242.9,7.26,24.62,Unsafe
7.71,427.5,10.58,25.43,Unsafe
6.57,490.7,15.72,24.77,Unsafe
7.41,351.8,15.59,24.5,Unsafe
7.65,420.3,16.59,24.14,Unsafe
6.57,205.4,10.56,24.66,Unsafe
7.42,480.2,14.71,24.93,Unsafe
7.72,446.1,16.19,24.13,Unsafe
6.63,215.7,6.42,24.95,Unsafe
7.6,291,6.52,23.64,Unsafe
6.63,472.9,7.98,24.42,Unsafe
6.53,450.9,15.87,24,Unsafe
7.29,426.7,8.09,23.92,Unsafe
6.83,442.2,11.69,23.9,Unsafe
7.73,214.7,12.21,24.41,Unsafe
7.18,434.9,11.87,23.32,Unsafe
6.55,414.3,9.59,24.35,Unsafe
7.47,220.1,12.46,23.58,Unsafe
7.22,463.7,6.25,24.47,Unsafe
7.43,239.6,16.95,24.26,Unsafe
7.33,219.7,11.58,23.81,Unsafe
6.83,461.1,5.8,25.09,Unsafe
7.16,405,4.14,24.93,Unsafe
7.68,211.5,12.62,24.41,Unsafe
7.51,442.8,13.02,24.54,Unsafe
6.75,211.8,7,24.7,Unsafe
7.23,318.9,15.31,23.92,Unsafe
6.63,307.1,6.7,24.05,Unsafe
6.99,418.4,7.08,24.23,Unsafe
6.69,490.7,14.29,24.41,Unsafe
7.39,213.7,4.73,24.75,Unsafe
6.99,457.4,4.02,25.13,Unsafe
6.64,460.6,8.52,24.32,Unsafe
7.24,317.5,15.13,24.1,Unsafe
7.69,482.8,5.47,24.21,Unsafe
7.26,305.1,16.33,24.53,Unsafe
6.57,280.5,8.91,25.2,Unsafe
6.99,323.8,11.4,25.05,Unsafe
7.07,293.9,8.66,25.44,Unsafe
6.62,340.9,11.66,24.2,Unsafe
6.83,274.6,7.43,23.74,Unsafe
6.94,382,7.54,23.24,Unsafe
7.3,329.6,9.59,23.7,Unsafe
6.63,470.1,17.47,24.96,Unsafe
7.55,464.8,16.84,24.45,Unsafe
6.77,340.2,16.58,24.12,Unsafe
7.76,306.2,12.81,23.86,Unsafe
6.69,245.6,5.52,24.86,Unsafe
6.96,209.7,8.85,23.31,Unsafe
7.52,285.2,5.22,23.8,Unsafe
6.92,372.8,3.66,23.52,Unsafe
6.66,404.6,14.68,24.04,Unsafe
7.58,208.3,16.93,23.27,Unsafe
6.81,350.2,4.33,24.07,Unsafe
7.47,428.1,9.69,23.92,Unsafe
7.6,203.1,8.32,24.93,Unsafe
7.54,359.2,12.52,24.21,Unsafe
6.84,281.1,4.83,23.82,Unsafe
7.18,379.9,18.43,23.72,Unsafe
6.96,290.4,17.36,23.25,Unsafe
7.55,346.3,11.78,23.83,Unsafe
6.77,371.1,17.38,24.54,Unsafe
